max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column,strain,source_file,condition,sample
94,77,111,17,0.2323688688499066,10.888722062970595,-2.461999025690277,-4.9932115396893755,GALRAF_log_sample1,YET937,YET937_DATA_2401.xlsx,GALRAF,sample1
93,77,109,16,0.2423530255459095,10.283446757822375,-2.454436803174169,-4.9476585266620905,GALRAF_log_sample2,YET937,YET937_DATA_2401.xlsx,GALRAF,sample2
57,45,69,12,0.341308762516426,4.792380937020471,-2.4738506614232416,-4.11018680300164,GLUGLU_log_sample1,YET938,YET938_DATA_2701.xlsx,GLUGLU,sample1
57,45,69,12,0.33687415949821453,4.224121036932424,-2.52700028768324,-3.950566938278815,GLUGLU_log_sample2,YET938,YET938_DATA_2701.xlsx,GLUGLU,sample2
74,59,89,15,0.27205882559549555,6.652273972703283,-2.4566810482910757,-4.267215106467483,GALGAL_log_sample1,YET938,YET938_DATA_2701.xlsx,GALGAL,sample1
77,62,92,15,0.27202097623772986,6.6311189784873905,-2.4870555183448584,-4.29158078652881,GALGAL_log_sample2,YET938,YET938_DATA_2701.xlsx,GALGAL,sample2
97,80,114,17,0.2289072691991847,9.38866323476536,-2.503235803366504,-4.653229063171349,RAFRAF_log_sample1,YET938,YET938_DATA_2701.xlsx,RAFRAF,sample1
98,80,116,18,0.22524582166545182,9.857281009902211,-2.4958807381572155,-4.717080578556053,RAFRAF_log_sample2,YET938,YET938_DATA_2701.xlsx,RAFRAF,sample2
110,96,124,14,0.270345919480246,12.819308623110837,-2.4721762259131523,-5.9392108165653585,GLUGAL_log_sample1,YET938,YET938_DATA_2701.xlsx,GLUGAL,sample1
110,96,124,14,0.2779092562311902,12.218486223022454,-2.4714976358465113,-5.868486850043405,GLUGAL_log_sample2,YET938,YET938_DATA_2701.xlsx,GLUGAL,sample2
122,104,140,18,0.21450284307702522,13.676078915078604,-2.4738556889405294,-5.408587391051492,GLURAF_log_sample1,YET938,YET938_DATA_2701.xlsx,GLURAF,sample1
115,98,132,17,0.23765418333464094,12.77542702755316,-2.491542759583614,-5.5288913760146325,GLURAF_log_sample2,YET938,YET938_DATA_2701.xlsx,GLURAF,sample2
93,78,108,15,0.2698264443860815,9.342379326622385,-2.458640315376642,-4.9804700430762745,RAFGAL_log_sample1,YET938,YET938_DATA_2701.xlsx,RAFGAL,sample1
91,77,105,14,0.27862483164780594,9.39855629834104,-2.4731698390490138,-5.092888893028304,RAFGAL_log_sample2,YET938,YET938_DATA_2701.xlsx,RAFGAL,sample2
57,46,68,11,0.3548666343519632,4.98927626918509,-2.5063662881872077,-4.277602460153827,GALGLU_log_sample1,YET938,YET938_DATA_2701.xlsx,GALGLU,sample1
56,45,67,11,0.35435801839197384,4.768109520828202,-2.508915524128801,-4.19920948298893,GALGLU_log_sample2,YET938,YET938_DATA_2701.xlsx,GALGLU,sample2
57,45,69,12,0.34054689145661965,4.672571260878709,-2.5111888813954244,-4.103055245943025,RAFGLU_log_sample1,YET938,YET938_DATA_2701.xlsx,RAFGLU,sample1
59,47,71,12,0.3422818868755258,5.002510633065045,-2.5363198158130333,-4.249273775997492,RAFGLU_log_sample2,YET938,YET938_DATA_2701.xlsx,RAFGLU,sample2
104,88,120,16,0.2401894925078949,10.503963893689532,-2.510737392610442,-5.034688730091975,GALRAF_log_sample1,YET938,YET938_DATA_2701.xlsx,GALRAF,sample1
100,84,116,16,0.2471887681799821,10.33872949585945,-2.4764550249116257,-5.0330954897250955,GALRAF_log_sample2,YET938,YET938_DATA_2701.xlsx,GALRAF,sample2
44,31,57,13,0.316444946272868,2.9635951082114094,-2.3773764455940594,-3.3155664163748657,GLUGLU_log_sample1,YET962,YET962_DATA_2901.xlsx,GLUGLU,sample1
49,36,62,13,0.3066637576802036,3.249404576611854,-2.421513655421677,-3.4183870224555326,GLUGLU_log_sample2,YET962,YET962_DATA_2901.xlsx,GLUGLU,sample2
191,154,228,37,0.10360687168333935,16.49623621919703,-2.466358807757839,-4.176166159919105,GALGAL_log_sample1,YET962,YET962_DATA_2901.xlsx,GALGAL,sample1
194,153,235,41,0.0944385519247293,15.491304140100302,-2.4891932189164314,-3.9527549740351153,GALGAL_log_sample2,YET962,YET962_DATA_2901.xlsx,GALGAL,sample2
